,Age,Date,Draft Year,Height,Player,Position,Season,Season short,Seasons in league,Team,Weight,Real_value
121,24,"Mar 11, 1990",1988,6-11,Rony Seikaly,C,1989-1990,1990,1,Miami Heat,230,1.0
122,27,"Mar 4, 1990",1984,7-0,Hakeem Olajuwon,C,1989-1990,1990,5,Houston Rockets,255,1.0
123,24,"Feb 25, 1990",1987,7-1,David Robinson,C,1989-1990,1990,0,San Antonio Spurs,250,1.0
124,30,"Feb 18, 1990",1981,6-10,Tom Chambers,PF,1989-1990,1990,8,Phoenix Suns,220,1.0
125,23,"Feb 4, 1990",1989,6-0,Tim Hardaway,PG,1989-1990,1990,0,Golden State Warriors,175,1.0
126,26,"Jan 28, 1990",1985,6-9,Karl Malone,PF,1989-1990,1990,4,Utah Jazz,265,1.0
127,27,"Jan 21, 1990",1984,6-3,Alvin Robertson,SG,1989-1990,1990,5,Milwaukee Bucks,185,1.0
128,26,"Jan 14, 1990",1986,6-6,Ron Harper,SG,1989-1990,1990,3,Los Angeles Clippers,185,1.0
129,29,"Jan 7, 1990",1982,6-5,Terry Teagle,SG,1989-1990,1990,7,Golden State Warriors,195,1.0
130,26,"Dec 30, 1989",1985,6-9,Karl Malone,PF,1989-1990,1990,4,Utah Jazz,265,1.0
131,28,"Dec 24, 1989",1982,6-9,Terry Cummings,PF,1989-1990,1990,7,San Antonio Spurs,220,1.0
132,26,"Dec 17, 1989",1985,6-7,Chris Mullin,SF,1989-1990,1990,4,Golden State Warriors,215,1.0
133,27,"Dec 10, 1989",1984,6-6,Michael Jordan,SG,1989-1990,1990,5,Chicago Bulls,215,1.0
134,27,"Dec 3, 1989",1985,7-0,Patrick Ewing,C,1989-1990,1990,4,New York Knicks,240,1.0
135,27,"Nov 26, 1989",1983,6-7,Clyde Drexler,SG,1989-1990,1990,6,Portland Trail Blazers,210,1.0
136,27,"Nov 19, 1989",1984,6-1,John Stockton,PG,1989-1990,1990,5,Utah Jazz,170,1.0
137,28,"Nov 12, 1989",1984,6-5,Vern Fleming,G,1989-1990,1990,5,Indiana Pacers,185,1.0
138,26,"Apr 21, 1991",1986,6-1,Scott Skiles,PG,1990-1991,1991,4,Orlando Magic,180,1.0
139,28,"Apr 14, 1991",1983,6-7,Clyde Drexler,SG,1990-1991,1991,7,Portland Trail Blazers,210,1.0
